Code,Description
1ST,1ST SERV GLOBAL LOGISTICS INC.
2GE,2GO Express
2GF,2GO Freight
ACA,ALLEGIANCE CARGO ADVANTAGE INC.
ACE,ACE Logistics
ASB,A.S BALDAZO TRADING & TRUCKING SERVICES
ASI,A.S.I. TRUCKING SERVICES
ATS,ATS HAULING SERVICES
AUR,AURORA Q. ESPINO TRUCKING
CBS,CB SANTIAGO TRUCKING SERVICES
CEB,Cebu Pacific
DRJ,DR. J'S TRUCKING SERVICES
DVM,D'VOZZ MOVERS CORP.
EJT,ELEVEN JAY TRUCKING
FJT,FOUR J TRUCKING
GLC,GTYCOON LOGISTICS CORP.
GLS,"GLS PINNACLE MULTI VENTURES, INC."
GMV,GMV TRUCKING SERVICES
GOB,GLOBAL ORIENT BATANGAS TRADING CORP.
GOD,GOD'S FAVOR ENTERPRISES
GSL,"GS Logistics, Inc."
GSS,Gothong Southern Shipping Lines
GST,GABBIE SKYE SAM TRUCKING
JAM,JAMCAT TRANSPORT 
JAT,J.E.A.R. AGRICULTURAL & TRUCKING
JBE,J-BETH ENTERPRISES
JCJ,JC'JN TRUCKING
JCO,JCOV TRADING & CONSTRUCTION
JDM,J-DAN MOVERS
JGV,JGV PRIME LOGISTICS INC.
JLA,"JLA MOVERS INTERTRANSPORT, INC."
JLT,J.L. LEDESMA TRUCKING SERVICE
JOB,JOEN BELTRAN CARGO INC.
JOE,JOEBIBS ENTERPRISE
JOS,JOSEPH TRUCKING SERVICES
JRM,JRM CARGO MOVER SERVICES
JRS,JRSP TRUCKING SERVICES
JTS,JEZER TRUCKING SERVICES
KAL,"KALLIYAN TRUCKING SERVICES, INC."
KAR,"KARGAMINE TOO, INC."
KOB,KOBASKYE TRUCKING
KPL,K.P.L. ENTERPRISE
LEU,"LOAD ""EM"" UP TRANSPORT INC."
LGA,LIBERTY G. APOSTOL TRUCKING SERVICES CORP.
LOG,LOGICORE INC.
LWE,"LOGISTICS WORLDWIDE EXPRESS & GLOBAL FORWARDING, INC."
MCM,MC MENDOZA TRADING & TRUCKING SERVICES
MEC,MECC TRUCKING
MJE,MARIE JOHN ENTERPRISES
MRE,M.R.E. TRANSPORT SERVICES
MSL,Moreta Shipping Lines
MTC,METROPAC TRUCKING COMPANY
MTT,M. TAMAYO TRUCKING & LOGISTIC SERVICES
NEO,NEOTRAX CARGO MOVERS
NGC,NINERS GLOBAL CORP.
OCT,ON CALL TRUCKING
PAL,Philippine Airlines
PRL,PREMIERLOGISTICS INC.
PRO,TRUCKING PRO
PRT,PREMIER TRUCKING
PSD,R.C. DE GUZMAN TRUCKING & TRANSPORT SERVICE 
QSL,QS LOGISTICS AND RENTALS INC.
RET,RENJAY TRANSPORT
RNE,RNE TRUCKING SERVICES
RVL,RVL MOVERS CORPORATION
SAI,SEA & AIR INTERNATIONAL FORWARDING CORP.
SSL,Solid Shipping Lines
SYT,SYRE TRADING & DELIVERY SERVICES
TAS,Trans-Asia Shipping Lines
TLC,TOPMOVERS LOGISTICS CORP.
TVA,T.V.A. EXPRESS LOGISTICS INC.
WAL,WIDE AREA LOGISTICS SOLUTIONS INC.
