District/ Barangay,City/ Major Area,zip_code,PORT CODE,ODZ FLAG
ABILAN,BUENAVISTA,3111,BXU1,DEL
AGONG-ONG,BUENAVISTA,6011,BXU1,DEL
BARANGAY 1,BUENAVISTA,5033,BXU1,DEL
BARANGAY 10,BUENAVISTA,,BXU1,DEL
BARANGAY 2,BUENAVISTA,,BXU1,DEL
BARANGAY 3,BUENAVISTA,,BXU1,DEL
BARANGAY 4,BUENAVISTA,,BXU1,DEL
BARANGAY 5,BUENAVISTA,,BXU1,DEL
BARANGAY 6,BUENAVISTA,,BXU1,DEL
BARANGAY 7,BUENAVISTA,,BXU1,DEL
BARANGAY 8,BUENAVISTA,,BXU1,DEL
BARANGAY 9,BUENAVISTA,,BXU1,DEL
MANAPA,BUENAVISTA,,BXU1,DEL
MATABAO,BUENAVISTA,,BXU1,DEL
POBLACION,BUENAVISTA,,BXU1,DEL
RIZAL,BUENAVISTA,,BXU1,DEL
SACOL,BUENAVISTA,,BXU1,DEL
TALA-AO,BUENAVISTA,,BXU1,DEL
TINAGO,BUENAVISTA,,BXU1,DEL
AGUSAN PEQUENO DISTRICT,BUTUAN,,BXU1,DEL
AMBAGO,BUTUAN,,BXU1,DEL
AMPARO,BUTUAN,,BXU1,DEL
AMPAYON,BUTUAN,,BXU1,DEL
ANTONGALON,BUTUAN,,BXU1,DEL
BAAN,BUTUAN,,BXU1,DEL
BABAG,BUTUAN,,BXU1,DEL
BADING DISTRICT,BUTUAN,,BXU1,DEL
BANZA,BUTUAN,,BXU1,DEL
BASAG,BUTUAN,,BXU1,DEL
BINGKILAN,BUTUAN,,BXU1,DEL
BIT-OS,BUTUAN,,BXU1,DEL
BOBON,BUTUAN,,BXU1,DEL
BUHANGIN,BUTUAN,,BXU1,DEL
CABCABON,BUTUAN,,BXU1,DEL
CAMP BANGCASI,BUTUAN,,BXU1,DEL
D M P I RIVERSIDE,BUTUAN,,BXU1,DEL
DALINGDINGAN,BUTUAN,,BXU1,DEL
DANKIAS,BUTUAN,,BXU1,DEL
DOONGAN LOWER,BUTUAN,,BXU1,DEL
DOONGAN UPPER,BUTUAN,,BXU1,DEL
DULAG,BUTUAN,,BXU1,DEL
DUMALAGAN,BUTUAN,,BXU1,DEL
EAST MINDANAO DISTRICT,BUTUAN,,BXU1,DEL
GOLDEN RIBBON,BUTUAN,,BXU1,DEL
KAPIGTAAN,BUTUAN,,BXU1,DEL
KINAMLUTAN,BUTUAN,,BXU1,DEL
LANGIHAN,BUTUAN,,BXU1,DEL
LEMON,BUTUAN,,BXU1,DEL
LIBERTAD,BUTUAN,,BXU1,DEL
LOS ANGELES PROPER,BUTUAN,,BXU1,DEL
LOWER PINAMANGKULAN,BUTUAN,,BXU1,DEL
