District/ Barangay,City/ Major Area,zip_code,PORT CODE
Macabucod,ALIAGA,3111,NVE
Pantoc,ALIAGA,3111,NVE
Kawasan,ALOGUINSAN,6088,CEB
Lambug,BADIAN,6011,CEB
Malhiao,BADIAN,6011,CEB
Matutinao,BADIAN,6011,CEB
Poblacion,BADIAN,6011,CEB
Santicon,BADIAN,6011,CEB
Sulsugan,BADIAN,6011,CEB
Taytay,BADIAN,6011,CEB
Tigbao,BADIAN,6011,CEB
Tubod,BADIAN,6011,CEB
Agusipan,BADIANGAN,5033,ILO
Bita-oyan,BADIANGAN,5033,ILO
Budiawe,BADIANGAN,5033,ILO
Cabayogan,BADIANGAN,5033,ILO
Catubig,BADIANGAN,5033,ILO
Ilongbukid,BADIANGAN,5033,ILO
Indorohan,BADIANGAN,5033,ILO
Latawan,BADIANGAN,5033,ILO
Mainguit,BADIANGAN,5033,ILO
Manaolan,BADIANGAN,5033,ILO
Mapili Sanjo,BADIANGAN,5033,ILO
Poblacion (Badiangan),BADIANGAN,5033,ILO
San Julian,BADIANGAN,5033,ILO
Sianon,BADIANGAN,5033,ILO
Talaba,BADIANGAN,5033,ILO
Teneclan,BADIANGAN,5033,ILO
Bingauan,BADIANGAN,5033,ILO
Alogoog,BADOC,2904,LAO
Ar-arusip,BADOC,2904,LAO
Balbaldez,BADOC,2904,LAO
Camanga,BADOC,2904,LAO
Caraitan,BADOC,2904,LAO
Gabut Sur,BADOC,2904,LAO
Garreta (Pob.),BADOC,2904,LAO
Lacuben,BADOC,2904,LAO
Mabusag Norte,BADOC,2904,LAO
Madupayas,BADOC,2904,LAO
Nagrebcan,BADOC,2904,LAO
La Virgen Milagrosa (Paguetpet),BADOC,2904,LAO
Pagsanahan Sur,BADOC,2904,LAO
Paltit,BADOC,2904,LAO
Pasuc,BADOC,2904,LAO
Santa Cruz Sur,BADOC,2904,LAO
Turod,BADOC,2904,LAO
Bagumbayan (Pob.),BAGAC,2107,BTN
Banawang,BAGAC,2107,BTN
Binuangan,BAGAC,2107,BTN
Binukawan,BAGAC,2107,BTN
Ibaba,BAGAC,2107,BTN
Ibis,BAGAC,2107,BTN
Pag-asa (Wawa-Sibacan),BAGAC,2107,BTN
Parang,BAGAC,2107,BTN
Paysawan,BAGAC,2107,BTN
Quinawan,BAGAC,2107,BTN
San Antonio,BAGAC,2107,BTN
Saysain,BAGAC,2107,BTN
Tabing-Ilog (Pob.),BAGAC,2107,BTN
Atilano L. Ricardo,BAGAC,2107,BTN
Agaman (Proper),BAGGAO,3506,TUG
Annayatan,BAGGAO,3506,TUG
Asinga-Via,BAGGAO,3506,TUG
