ANT,Antique,Philippines
BAC,Negros Occidental,Philippines
BAT,Batangas,Philippines
BTN,Bataan,Philippines
BUL,Bulacan,Philippines
BUO,Benguet,Philippines
BXU,Agusan del Norte and Agusan del Sur,Philippines
CAV,Cavite,Philippines
CBO,Cotabato and Maguindanao,Philippines
CEB,Cebu,Philippines
CGY,Misamis Oriental,Philippines
COM,Oriental Mindoro,Philippines
CYP,Western Samar,Philippines
DGT,Negros Oriental,Philippines
DPL,Zamboanga del Norte,Philippines
DTE,Camarines Norte,Philippines
DVO,Davao del Sur,Philippines
GSS,South Cotabato,Philippines
IGN,Lanao del Norte,Philippines
ILO,Iloilo,Philippines
KLO,Aklan,Philippines
LAG,Laguna,Philippines
LAO,Ilocos Norte,Philippines
LAU,La Union,Philippines
LGP,Albay,Philippines
LUC,Quezon,Philippines
MNL,Metro Manila,Philippines
NAG,Camarines Sur,Philippines
NVE,Nueva Ecija,Philippines
OGP,Zambales,Philippines
OZC,Misamis Occidental,Philippines
PAB,Davao del Norte (Panabo City),Philippines
PGA,Pampanga,Philippines
PGN,Pangasinan,Philippines
PPS,Palawan,Philippines
RXS,Capiz,Philippines
SIQ,Siquijor,Philippines
SJI,Occidental Mindoro,Philippines
SOR,Sorsogon,Philippines
STG,Isabela,Philippines
SUG,Surigao del Norte,Philippines
TAC,Leyte,Philippines
TAG,Bohol,Philippines
TGM,Davao del Norte (Tagum City),Philippines
TRC,Tarlac,Philippines
TUG,Cagayan,Philippines
VIG,Ilocos Sur,Philippines
ZAM,Zamboanga del Sur and Zamboanga Sibugay,Philippines
